職缺內容,公司名稱,內容,地址,薪資,網址
Python工程師  (中和辦公室),昇銳電子股份有限公司,"1.應用程式開發
2.後台系統建置開發
3.網路爬蟲
4.GCP/AWS API串接
5.與前端工程師、UI/UX人員溝通協調",新北市中和區,待遇面議,//www.104.com.tw/job/6zloe?jobsource=jolist_a_relevance
副軟體工程師 (Python),美商連科股份有限公司,"待遇：6萬~7.5萬 * 14個月
職缺：Python Developer 1人

Join us in building the best e-commerce SaaS platform to revolutionize how",台北市內湖區,"月薪60,000~75,000元",//www.104.com.tw/job/79qh7?jobsource=jolist_a_relevance
新創電商Backend Engineer (Python),霖園關係企業_神坊資訊股份有限公司," experience with Python applications in production.
●     1+ years experience with HTML5, CSS, and JavaScript.
●     Experience with",台北市信義區,待遇面議,//www.104.com.tw/job/7aenr?jobsource=jolist_a_relevance
Python程式設計師(副理),綠界科技股份有限公司,收銀台專案相關應用程式開發、維護、管理。,台北市南港區,待遇面議,//www.104.com.tw/job/6yyb2?jobsource=jolist_a_relevance
"技術支援類: PDK Application Engineer (歡迎應屆畢業生投遞, 熟悉Script:Python, Perl,TCL尤佳)","Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司"," Design Automation, or Electrical Engineering)
Experience and proficiency in computer languages: Tcl and/or Python. Perl and",新竹市,待遇面議,//www.104.com.tw/job/6uvvu?jobsource=jolist_c_relevance
Full-Stack Developer_Java & Python,雲端互動股份有限公司," Java & 20% Python

[Requirements]
- Have good communication skills and technical skills to support different projects.
-  5+",台北市大安區,待遇面議,//www.104.com.tw/job/7cqlh?jobsource=jolist_c_relevance
資深後端工程師（資深php後端願意轉python者歡迎）,鈦度科技有限公司,"1. 開發應用軟體後端(如Django framework, Java SSH) . 資深php後端願意轉python者歡迎
2. 熟悉PGSQL SOLR者優先
3. 需熟悉OOP及MVC觀念及運用
4. 開發Restful API及機器學習相",台北市內湖區,"年薪1,000,000元",//www.104.com.tw/job/706jj?jobsource=jolist_c_relevance
友善環境農食 Python電子商務工程師(可遠端工作),直接跟農夫買股份有限公司,"
6.物流系統維護與串接
7.在進入下一個規模時，評估程式架構轉移的必要性。
8.以科技幫助內部流程優化


＝必備能力＝
1.3年以上電子商務網站開發與維運經驗
2.具 Python / Django 框架開發經驗
3.熟悉 ubuntu",桃園市桃園區,"月薪50,000~70,000元",//www.104.com.tw/job/6b4tp?jobsource=jolist_c_relevance
Python工程師,艾斯移動股份有限公司,"▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬　艾　斯　移　動　▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
如果你有用不完的點子、問不完的問題，想加入具有發展性的年輕團隊，我們會是你最好選擇，
艾斯是由一群年輕的團隊組成，希望找到和我們一起尋找品牌發展潛能，創造品牌長期價值的你。

新創團隊最棒的地方，除了彈性工作時間與開放思想，我們重視個人成長，不框限職能範圍，
只要自己職務上的工作領域上做好，你可以在任何時候經由公司資源去發展斜槓能力。

【工作內容】
1. NLP周邊應用及微服務規劃與開發(例如：標記工具、斷詞器、無意義語句判斷、POS tagger等)
2. 視覺化工具發展
3. 定期舉辦組內技術分享讀書會
4. 參與敏捷開發

【加分條件】
1. Good experiences in flask-api, mongodb, mysql.
2. Well-know nature language process.
3. Strong proactive personality.
4. Strong customer-centric ability

【歡迎緯育TiabMe學員投遞履歷】
   ▬▬▬▬心動不如馬上行動，動動你的指頭投履歷去吧！▬▬▬▬",台北市大安區,"月薪50,000~80,000元",//www.104.com.tw/job/6nml7?jobsource=jolist_c_relevance
【 2021軟體技術人才招募】Python 工程師,緯創軟體股份有限公司,"【１年以上軟體相關經驗者，歡迎投遞！】

【職缺內容】
1. Developing backend services 
2. Design, maintain and scale our distributed infrastructure
3. Propose new ways and technologies for automation

【主要產業】
銀行/保險/證券/半導體/面板/電子/通訊業...等系統開發

【工作地點】
新竹或台北

【薪資】
面議(依經驗與能力核薪)

緯創軟體是台灣唯一專注於全球交付的資訊服務上櫃公司。因應業績不斷成長，需要大量人才加入國際軟體開發團隊。

因專案眾多，將根據您產業經驗、技術程度、專長類別、與期待工作地點，於面試時詳談工作內容與機會，錄取後即為緯創軟體正職人員，歡迎有經驗者加入我們這個大家庭~",新北市汐止區,待遇面議,//www.104.com.tw/job/69za2?jobsource=jolist_c_relevance
